Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US53029,5.0,5.1,5.5,4.6,6.6,7.0,6.2,4.9,4.6,5.6,6.4,7.2,8.0,7.9,6.4,3.2,2.5,3.2,2015,Island County,Washington
0500000US53033,6.1,6.1,5.3,5.4,6.4,8.7,8.6,7.4,7.4,7.0,6.9,6.6,5.7,4.4,3.0,2.0,1.4,1.7,2015,King County,Washington
0500000US53035,5.6,5.7,5.7,6.6,7.8,7.3,6.6,5.3,5.8,5.9,7.0,7.7,6.3,6.1,4.5,2.8,1.6,1.6,2015,Kitsap County,Washington
0500000US53041,5.6,5.6,6.4,6.8,5.4,5.7,6.3,5.0,5.4,5.8,7.1,7.3,7.1,7.3,4.8,3.8,2.0,2.6,2015,Lewis County,Washington
0500000US53053,6.8,6.9,6.2,6.4,7.2,7.8,7.2,7.1,5.8,6.4,6.8,6.7,5.8,4.5,3.3,2.1,1.7,1.4,2015,Pierce County,Washington
0500000US53057,6.1,6.5,6.1,5.5,6.4,5.7,6.6,5.1,6.1,5.7,6.6,7.4,6.9,7.1,4.5,3.4,2.4,2.1,2015,Skagit County,Washington
0500000US53061,6.2,6.1,6.8,6.1,6.5,6.9,7.4,6.5,7.1,7.2,7.5,7.0,6.3,4.3,3.2,1.9,1.6,1.4,2015,Snohomish County,Washington
0500000US53063,6.0,6.6,5.9,6.4,7.4,7.9,7.0,6.2,5.4,6.1,6.6,6.5,6.5,5.3,3.7,2.6,1.7,2.0,2015,Spokane County,Washington
0500000US53067,5.9,6.1,6.1,6.2,6.5,6.7,7.1,6.8,6.0,6.5,6.7,7.1,6.6,5.5,4.1,2.7,1.5,2.0,2015,Thurston County,Washington
0500000US53073,5.2,5.7,5.3,7.6,10.7,7.0,6.5,7.0,4.8,5.6,6.1,6.4,6.4,6.3,3.3,2.5,1.7,2.0,2015,Whatcom County,Washington
0500000US53077,8.4,8.7,8.0,7.4,7.3,6.5,6.3,5.9,6.1,5.6,5.9,6.3,4.6,4.8,2.9,2.0,1.6,1.7,2015,Yakima County,Washington
0500000US54003,5.9,6.6,7.5,5.9,6.0,7.1,6.1,7.3,7.2,7.6,6.5,7.5,5.0,5.3,3.8,2.0,1.5,1.3,2015,Berkeley County,West Virginia
0500000US54011,6.0,4.7,6.3,6.9,9.9,6.1,6.2,6.5,5.4,5.6,6.3,6.6,6.3,6.3,3.3,3.2,1.7,2.8,2015,Cabell County,West Virginia
0500000US54033,5.8,5.8,6.2,5.9,5.6,5.7,6.4,6.6,5.6,6.3,7.4,7.7,6.8,6.9,3.3,3.6,2.1,2.3,2015,Harrison County,West Virginia
0500000US54039,5.8,5.2,5.8,5.4,5.4,6.0,6.5,5.9,6.6,6.1,7.0,7.0,8.4,6.8,3.8,3.6,2.2,2.3,2015,Kanawha County,West Virginia
0500000US54061,4.6,3.9,4.5,8.3,16.6,10.9,7.5,5.2,6.2,4.9,5.1,5.9,4.9,4.2,2.6,1.9,1.2,1.4,2015,Monongalia County,West Virginia
0500000US54081,5.6,6.5,6.0,5.2,5.4,5.9,6.2,6.4,6.5,6.7,6.2,5.9,8.4,6.0,5.1,3.6,1.9,2.4,2015,Raleigh County,West Virginia
0500000US54107,6.1,5.8,6.0,5.9,5.7,5.6,5.8,6.8,5.6,6.7,7.3,6.3,7.9,6.4,4.5,3.3,1.9,2.7,2015,Wood County,West Virginia
0500000US55009,6.6,7.3,6.5,6.4,6.6,6.6,7.4,5.6,7.1,6.5,7.1,7.1,5.6,5.0,2.7,2.2,1.8,2.0,2015,Brown County,Wisconsin
0500000US55025,6.0,6.1,5.6,6.7,10.5,7.7,7.8,6.9,6.1,6.1,6.3,6.5,5.7,4.6,2.6,1.9,1.4,1.6,2015,Dane County,Wisconsin
0500000US55027,4.8,6.4,6.5,5.7,5.5,6.2,6.2,6.4,5.8,7.0,8.5,7.8,6.4,5.1,3.6,3.1,2.0,2.9,2015,Dodge County,Wisconsin
0500000US55035,5.9,6.6,5.1,7.4,12.2,6.5,7.4,5.4,5.4,5.4,6.3,6.9,5.4,5.1,3.1,2.0,2.0,2.2,2015,Eau Claire County,Wisconsin
0500000US55039,5.3,6.0,5.8,7.6,6.2,5.6,5.9,5.7,5.9,6.8,7.8,8.3,6.3,5.1,4.2,3.1,1.9,2.6,2015,Fond du Lac County,Wisconsin
0500000US55055,5.5,5.6,6.7,7.4,7.2,5.2,6.0,5.4,6.7,6.9,7.9,7.5,6.6,5.3,3.7,2.0,2.3,2.1,2015,Jefferson County,Wisconsin
0500000US55059,5.9,5.9,7.7,7.2,7.4,6.0,6.1,6.2,7.0,6.9,7.9,7.0,6.1,3.6,3.7,2.5,1.5,1.4,2015,Kenosha County,Wisconsin
0500000US55063,5.8,5.9,5.1,8.0,11.8,6.3,6.1,5.3,5.3,6.0,6.4,7.4,5.5,4.9,3.4,3.1,2.1,1.6,2015,La Crosse County,Wisconsin
0500000US55071,4.9,5.7,6.0,5.5,5.5,4.8,5.9,6.1,6.0,6.6,8.1,9.7,6.1,5.8,4.5,4.3,1.7,2.8,2015,Manitowoc County,Wisconsin
0500000US55073,6.2,7.0,5.9,5.8,5.5,5.6,6.4,6.3,5.9,6.9,7.8,7.3,6.8,5.3,3.6,3.1,1.7,2.7,2015,Marathon County,Wisconsin
0500000US55079,7.2,6.7,6.6,6.6,7.2,8.6,7.7,6.3,6.3,6.0,6.3,6.4,5.6,4.3,2.6,2.1,1.5,1.9,2015,Milwaukee County,Wisconsin
0500000US55087,6.3,7.0,6.5,6.5,6.5,6.3,7.1,6.4,6.7,6.7,7.6,7.2,5.8,4.8,3.0,2.2,1.4,2.1,2015,Outagamie County,Wisconsin
0500000US55089,5.1,5.9,6.6,7.2,6.0,4.1,5.4,5.9,5.5,7.1,8.1,8.8,6.6,5.6,4.2,3.1,1.6,3.2,2015,Ozaukee County,Wisconsin
0500000US55097,4.7,5.6,5.8,8.2,12.0,5.9,5.9,4.4,6.0,6.3,6.8,7.4,5.8,5.9,2.8,3.0,1.7,2.0,2015,Portage County,Wisconsin
0500000US55101,6.2,6.4,6.8,6.5,6.5,5.5,6.3,5.5,6.3,7.1,7.9,7.4,6.6,5.6,3.2,2.6,2.0,1.9,2015,Racine County,Wisconsin
0500000US55105,6.0,6.7,7.0,6.6,6.0,5.9,6.0,7.1,5.6,7.0,7.0,7.9,5.6,5.2,3.5,3.0,2.2,1.7,2015,Rock County,Wisconsin
0500000US55109,6.4,8.5,6.6,6.5,5.3,4.9,6.7,7.6,7.0,7.3,7.5,7.5,5.6,5.0,2.7,1.8,1.8,1.3,2015,St. Croix County,Wisconsin
0500000US55117,5.6,5.8,7.0,6.6,5.2,5.7,6.3,5.5,6.7,6.5,7.9,7.4,7.3,5.1,4.0,3.1,2.0,2.5,2015,Sheboygan County,Wisconsin
0500000US55127,5.1,6.5,6.0,7.4,9.4,5.2,5.3,6.9,4.4,6.8,7.2,7.5,6.5,5.7,3.5,2.3,2.0,2.4,2015,Walworth County,Wisconsin
0500000US55131,5.0,6.9,6.8,6.2,5.4,4.8,5.6,6.0,6.1,7.7,8.8,8.2,6.4,5.2,3.9,2.5,2.4,2.1,2015,Washington County,Wisconsin
0500000US55133,5.1,6.3,6.4,6.7,5.5,4.6,5.5,6.1,6.1,7.1,8.3,8.0,7.4,5.8,3.6,2.7,2.3,2.5,2015,Waukesha County,Wisconsin
0500000US55139,5.1,6.0,5.9,6.9,9.3,6.4,6.6,6.3,5.9,6.5,7.2,6.7,6.2,4.5,3.6,2.5,2.3,2.2,2015,Winnebago County,Wisconsin
0500000US55141,5.0,7.0,5.9,5.6,5.5,5.2,6.0,4.3,6.7,6.6,8.1,7.9,7.1,6.0,4.2,3.5,2.3,3.1,2015,Wood County,Wisconsin
0500000US56021,6.2,6.4,6.8,6.9,7.4,7.1,7.8,6.2,5.1,5.7,6.5,8.3,5.1,4.5,3.8,2.4,1.2,2.3,2015,Laramie County,Wyoming
0500000US56025,7.5,6.5,8.5,6.1,6.3,7.4,6.9,7.1,5.8,6.0,6.4,6.4,6.5,4.3,2.9,1.9,1.6,2.0,2015,Natrona County,Wyoming
0500000US72013,4.9,4.2,7.0,6.9,7.2,6.3,5.7,6.5,6.2,6.8,6.7,5.4,6.6,6.6,4.4,3.7,2.4,2.5,2015,Arecibo Municipio,Puerto Rico
0500000US72021,4.8,5.7,5.4,6.6,7.2,7.2,6.4,7.3,4.8,6.1,6.8,6.8,5.4,5.1,4.9,4.2,3.0,2.3,2015,Bayamón Municipio,Puerto Rico
0500000US72025,4.9,6.9,5.3,6.8,7.0,6.4,6.1,8.8,4.4,6.7,6.7,6.8,5.2,5.8,4.2,3.7,2.5,1.9,2015,Caguas Municipio,Puerto Rico
0500000US72031,4.9,4.2,7.1,6.7,7.3,6.3,5.8,5.7,7.2,6.6,6.6,5.7,5.9,5.5,5.5,4.6,1.9,2.5,2015,Carolina Municipio,Puerto Rico
0500000US72061,4.4,5.6,4.8,6.1,6.8,6.4,6.3,6.4,6.2,6.7,7.2,7.3,6.4,5.9,4.5,3.7,3.1,2.3,2015,Guaynabo Municipio,Puerto Rico
0500000US72097,4.4,4.9,5.6,8.1,11.3,6.0,5.4,4.5,5.2,5.2,5.7,5.6,6.5,6.9,4.7,3.7,3.5,2.7,2015,Mayagüez Municipio,Puerto Rico
0500000US72113,5.5,5.9,6.2,7.2,7.5,6.7,5.9,6.0,5.6,5.7,6.1,6.3,6.4,6.2,4.5,3.0,2.7,2.5,2015,Ponce Municipio,Puerto Rico
0500000US72127,4.9,5.5,5.4,6.5,7.0,6.6,6.1,6.1,6.0,6.3,6.8,6.5,6.3,6.1,4.2,3.4,3.0,3.5,2015,San Juan Municipio,Puerto Rico
0500000US72135,5.0,6.2,7.3,7.2,8.2,6.8,6.2,6.9,7.5,7.4,7.5,5.9,5.6,5.3,2.2,2.2,1.1,1.3,2015,Toa Alta Municipio,Puerto Rico
0500000US72137,5.1,7.1,5.1,6.3,7.7,6.8,6.6,6.8,6.3,6.3,6.8,5.8,6.2,5.3,4.6,2.6,1.6,2.8,2015,Toa Baja Municipio,Puerto Rico
0500000US72139,4.8,6.9,5.8,6.7,7.3,6.4,6.3,6.8,6.8,6.8,6.8,5.8,6.4,5.8,3.9,1.9,2.8,2.1,2015,Trujillo Alto Municipio,Puerto Rico
0500000US01003,5.6,6.4,6.2,6.1,5.8,6.1,5.8,5.9,5.9,7.4,7.4,7.0,6.6,6.9,3.7,3.1,2.2,1.8,2012,Baldwin County,Alabama
0500000US01015,6.1,7.0,5.6,6.7,8.2,6.1,5.9,5.4,7.3,6.0,7.3,7.7,5.9,4.3,4.2,2.8,1.7,1.9,2012,Calhoun County,Alabama
0500000US01043,5.9,6.2,6.6,6.1,6.2,6.0,5.6,5.9,6.4,7.6,7.2,5.8,7.6,6.0,4.1,2.9,1.8,2.4,2012,Cullman County,Alabama
0500000US01049,4.9,7.2,9.0,6.6,7.9,4.1,5.2,4.1,10.4,6.6,6.9,4.9,7.5,3.8,4.8,2.0,2.8,1.4,2012,DeKalb County,Alabama
0500000US01051,6.2,6.3,6.9,6.0,6.8,6.8,7.1,5.9,9.0,6.7,7.3,7.1,5.0,5.0,3.2,2.4,0.8,1.5,2012,Elmore County,Alabama
0500000US01055,5.7,6.1,6.7,6.5,6.3,5.6,6.3,6.0,7.3,6.3,6.8,7.5,6.2,5.3,4.7,2.7,1.6,2.6,2012,Etowah County,Alabama
0500000US01069,6.8,6.9,6.6,6.1,5.9,6.7,6.2,6.0,6.7,6.8,7.1,7.1,5.5,4.9,3.8,3.0,2.1,1.6,2012,Houston County,Alabama
0500000US01073,6.9,6.4,6.4,6.2,6.9,7.3,7.0,6.0,6.7,6.3,7.3,6.9,6.0,4.3,2.9,2.3,2.0,2.0,2012,Jefferson County,Alabama
0500000US01077,5.8,5.7,6.0,6.5,8.0,5.4,5.6,6.1,5.8,6.7,7.1,7.2,6.8,4.9,4.9,3.9,1.7,1.8,2012,Lauderdale County,Alabama
0500000US01081,6.0,7.4,5.0,8.7,15.8,7.4,6.2,5.7,6.8,5.6,5.8,4.0,6.2,3.2,2.6,1.8,1.0,0.9,2012,Lee County,Alabama
0500000US01083,6.1,6.8,7.4,5.7,5.5,6.9,6.9,6.5,8.5,7.7,7.3,5.9,5.8,4.5,3.5,2.6,0.9,1.4,2012,Limestone County,Alabama
0500000US01089,6.0,7.3,5.7,6.8,7.4,6.9,6.3,6.2,6.6,7.6,8.3,6.7,5.2,4.5,2.9,2.4,1.7,1.5,2012,Madison County,Alabama
0500000US01095,7.0,7.2,6.9,7.5,6.2,6.1,5.8,5.5,7.1,6.5,6.5,5.9,6.2,5.7,3.3,3.0,1.8,1.8,2012,Marshall County,Alabama
0500000US01097,6.8,6.3,7.2,7.0,7.2,6.5,6.4,5.8,6.6,6.6,7.3,6.6,5.9,5.0,3.1,2.8,1.7,1.3,2012,Mobile County,Alabama
0500000US01101,7.1,6.3,7.2,7.4,8.0,7.2,7.1,6.7,6.1,6.4,6.7,6.6,5.1,4.2,2.5,2.3,1.6,1.7,2012,Montgomery County,Alabama
0500000US01103,6.2,6.8,6.7,5.9,6.8,5.7,6.1,6.7,6.6,7.3,7.4,6.2,6.9,5.3,3.4,2.5,1.6,1.8,2012,Morgan County,Alabama
0500000US01115,5.9,6.5,7.1,5.5,5.9,7.0,6.5,6.5,7.8,7.2,6.9,7.2,5.5,5.2,3.9,2.1,2.0,1.2,2012,St. Clair County,Alabama
0500000US01117,6.3,6.8,7.5,7.0,5.6,5.7,6.9,7.1,8.0,7.6,7.5,6.7,5.6,4.5,2.7,2.1,1.2,1.2,2012,Shelby County,Alabama
0500000US01121,5.9,5.4,7.7,6.5,6.3,5.8,6.0,5.9,7.4,6.9,7.3,7.5,6.2,5.0,4.1,2.7,1.4,2.1,2012,Talladega County,Alabama
0500000US01125,6.0,6.0,5.8,11.6,11.4,7.0,6.5,6.3,5.7,5.5,6.0,5.9,5.2,3.5,2.7,2.1,1.6,1.3,2012,Tuscaloosa County,Alabama
0500000US01127,5.7,5.4,6.7,6.4,6.5,5.0,5.8,6.1,6.5,6.9,7.5,7.9,6.4,4.8,5.5,3.3,2.1,1.4,2012,Walker County,Alabama
0500000US02020,7.4,7.0,6.6,6.8,8.7,8.8,7.3,6.2,7.5,6.4,7.2,6.6,5.5,3.0,2.0,1.2,1.1,0.7,2012,Anchorage Municipality,Alaska
0500000US02090,7.5,7.9,5.7,6.7,10.7,9.1,8.6,6.4,5.9,5.9,6.9,6.4,4.9,2.0,2.5,0.7,1.0,1.0,2012,Fairbanks North Star Borough,Alaska
0500000US02170,7.0,7.3,8.6,7.9,6.4,6.3,6.3,6.8,6.5,7.3,7.9,7.4,5.8,3.5,2.2,1.3,0.7,0.7,2012,Matanuska-Susitna Borough,Alaska
0500000US04001,8.2,8.4,8.7,9.3,7.0,5.4,5.4,5.4,6.1,6.1,6.4,6.0,5.1,5.2,2.9,2.1,1.3,0.9,2012,Apache County,Arizona
0500000US04003,6.0,5.8,6.6,7.8,6.2,6.7,6.5,4.3,5.9,6.3,6.6,6.1,6.5,6.4,4.9,2.6,2.6,2.2,2012,Cochise County,Arizona
0500000US04005,6.1,5.7,6.9,9.7,13.6,6.8,6.1,6.0,5.7,5.5,6.6,6.7,5.0,3.9,2.1,1.5,1.3,0.8,2012,Coconino County,Arizona
0500000US04013,7.0,7.2,7.3,6.9,7.2,7.1,7.0,6.5,7.0,6.5,6.5,5.7,5.1,4.2,3.1,2.3,1.8,1.6,2012,Maricopa County,Arizona
0500000US04015,5.0,5.4,5.7,5.0,5.1,5.0,4.6,5.0,5.6,5.6,7.3,7.7,8.3,7.7,7.3,4.3,2.7,2.9,2012,Mohave County,Arizona
0500000US04017,7.7,7.5,8.9,7.3,7.4,5.4,5.2,5.2,5.3,5.9,7.2,7.3,5.4,4.7,4.1,2.4,1.7,1.5,2012,Navajo County,Arizona
0500000US04019,6.1,6.5,6.0,6.7,7.8,6.8,6.3,5.8,5.8,6.0,6.7,6.4,6.4,5.4,3.8,2.8,2.3,2.2,2012,Pima County,Arizona
0500000US04021,6.8,7.5,7.3,6.3,5.4,6.5,7.3,6.5,7.1,5.7,5.9,5.8,6.2,5.8,4.3,2.8,1.5,1.3,2012,Pinal County,Arizona
0500000US04025,4.5,4.5,5.6,5.3,5.3,4.4,4.4,3.7,5.4,5.8,7.1,8.2,9.7,7.2,7.9,4.4,2.9,3.7,2012,Yavapai County,Arizona
0500000US04027,7.5,7.4,7.7,7.9,8.6,6.6,6.0,5.0,6.2,5.7,5.5,5.0,4.5,4.5,4.4,4.1,2.2,1.1,2012,Yuma County,Arizona
0500000US05007,7.3,8.6,7.5,6.5,5.9,6.8,7.6,7.0,7.1,6.7,6.3,5.4,5.0,3.9,3.1,2.2,1.6,1.6,2012,Benton County,Arkansas
0500000US05031,7.5,8.1,5.3,6.7,9.1,7.8,7.1,6.2,6.0,6.8,6.3,5.3,5.6,3.9,3.0,2.3,1.1,1.8,2012,Craighead County,Arkansas
0500000US05045,7.0,6.4,6.8,7.6,11.8,8.1,6.7,6.5,6.3,5.9,6.4,6.1,4.2,3.2,2.9,1.7,1.5,1.0,2012,Faulkner County,Arkansas
0500000US05051,4.6,6.1,6.1,6.4,5.4,5.0,5.7,6.0,4.9,6.0,8.1,8.1,6.5,6.1,5.6,4.1,2.2,3.1,2012,Garland County,Arkansas
0500000US05069,6.0,6.7,6.5,7.8,7.0,6.7,5.9,5.6,6.1,6.6,7.3,7.0,6.4,5.1,3.0,2.3,1.9,1.9,2012,Jefferson County,Arkansas
0500000US05085,7.0,8.9,6.7,6.1,7.1,6.7,7.1,7.3,6.7,6.8,6.8,5.3,5.6,4.3,3.0,2.8,1.1,0.7,2012,Lonoke County,Arkansas
0500000US05119,7.0,7.3,5.8,6.1,7.2,7.5,7.4,6.8,6.3,6.4,6.9,6.4,6.2,4.1,3.1,2.2,1.6,1.6,2012,Pulaski County,Arkansas
0500000US05125,6.2,8.1,5.8,5.9,5.9,5.9,6.7,7.0,6.6,7.0,7.0,6.3,5.6,5.2,4.5,2.9,1.9,1.4,2012,Saline County,Arkansas
0500000US05131,7.0,7.8,6.6,6.1,6.4,7.5,6.5,6.0,6.4,6.6,7.3,6.9,5.2,4.3,3.4,2.5,1.9,1.5,2012,Sebastian County,Arkansas
0500000US05143,7.3,7.9,6.4,8.1,10.2,8.1,7.2,7.3,5.9,6.1,5.8,5.3,4.3,3.0,2.7,1.8,1.1,1.4,2012,Washington County,Arkansas
0500000US05145,6.2,5.5,7.9,7.4,9.7,7.1,5.8,5.2,6.7,6.6,6.7,5.4,5.4,6.1,2.0,3.0,1.8,1.4,2012,White County,Arkansas
0500000US06001,6.3,6.1,6.1,6.2,7.2,7.5,7.8,7.5,7.4,7.2,7.2,6.5,5.4,3.9,2.7,1.9,1.6,1.6,2012,Alameda County,California
0500000US06007,5.3,4.9,6.3,7.6,11.6,6.2,5.8,5.0,5.2,5.8,6.6,6.7,6.9,5.4,2.9,2.5,2.8,2.2,2012,Butte County,California
0500000US06013,6.1,7.0,6.7,6.8,6.0,6.0,6.3,6.7,7.1,7.6,7.6,6.9,5.9,4.3,3.2,2.3,1.8,1.8,2012,Contra Costa County,California
0500000US06017,4.5,6.3,6.4,6.8,5.8,4.4,4.8,3.9,7.4,7.8,9.1,8.4,7.7,6.2,3.7,2.3,2.4,2.0,2012,El Dorado County,California
0500000US06019,8.4,8.4,7.7,7.9,8.5,7.5,6.9,6.0,6.0,6.0,6.1,5.3,4.6,3.3,2.5,1.8,1.4,1.6,2012,Fresno County,California
0500000US06023,5.4,5.8,5.2,6.6,8.8,7.0,7.3,6.4,6.2,5.4,6.9,8.1,6.5,5.2,3.0,2.1,2.2,1.8,2012,Humboldt County,California
0500000US06025,8.1,8.6,6.8,8.2,8.4,7.1,6.4,6.2,6.9,6.1,6.2,6.7,3.6,3.3,2.5,2.2,1.3,1.4,2012,Imperial County,California
0500000US06029,8.6,8.3,8.0,8.0,8.2,7.6,7.0,7.0,5.8,6.2,6.3,5.1,4.6,3.3,2.2,1.6,1.1,1.1,2012,Kern County,California
0500000US06031,8.0,8.4,6.7,7.0,8.1,8.9,8.1,8.3,6.1,6.6,6.4,5.4,3.4,3.1,1.7,1.4,1.3,0.9,2012,Kings County,California
0500000US06033,5.4,5.0,6.3,5.4,5.0,6.5,4.8,5.0,6.1,5.8,9.1,9.2,8.3,7.5,3.2,3.0,2.3,2.3,2012,Lake County,California
0500000US06037,6.5,6.3,6.6,7.2,7.9,7.8,7.4,6.9,7.3,7.0,6.8,6.0,4.9,3.6,2.6,2.0,1.6,1.6,2012,Los Angeles County,California
0500000US06039,7.9,8.4,7.5,7.4,7.5,6.9,6.9,6.5,6.0,6.3,6.1,5.2,5.5,4.2,2.8,2.4,1.3,1.3,2012,Madera County,California
0500000US06041,5.3,5.8,6.1,5.7,3.9,4.4,5.0,5.8,7.9,7.9,8.3,7.9,8.0,6.0,4.3,3.0,2.5,2.4,2012,Marin County,California
0500000US06045,5.8,6.0,6.4,6.5,6.0,4.7,5.2,5.5,6.9,5.7,7.7,7.5,9.0,6.3,3.8,2.6,2.0,2.5,2012,Mendocino County,California
0500000US06047,8.3,8.4,8.9,9.1,8.6,6.8,6.5,6.8,5.7,5.9,5.9,5.0,4.2,3.6,2.2,1.9,1.3,1.0,2012,Merced County,California
0500000US06053,7.9,7.8,6.8,7.5,7.9,7.5,7.5,6.6,6.3,6.1,6.3,5.5,5.2,3.3,2.7,1.8,1.4,2.0,2012,Monterey County,California
0500000US06055,5.7,6.4,6.4,6.8,6.5,6.2,5.8,5.0,7.7,7.1,7.2,7.0,6.2,4.4,3.7,2.3,2.7,2.8,2012,Napa County,California
0500000US06057,4.4,4.1,5.5,6.6,4.6,4.3,4.8,5.2,5.2,7.2,8.2,8.8,10.0,7.1,5.2,3.1,2.9,2.9,2012,Nevada County,California
0500000US06059,6.3,6.5,6.7,7.1,7.5,7.0,6.7,6.6,7.5,7.4,7.2,6.2,5.0,3.9,2.9,2.0,1.7,1.8,2012,Orange County,California
0500000US06061,5.6,6.2,7.4,6.7,5.5,5.4,5.7,6.3,6.8,7.1,7.5,7.1,5.8,5.5,3.9,3.2,2.0,2.1,2012,Placer County,California
0500000US06065,7.2,7.5,7.8,8.1,7.5,6.6,6.5,6.6,6.5,6.6,6.5,5.5,4.8,4.0,2.9,2.3,1.7,1.5,2012,Riverside County,California
0500000US06067,6.9,7.0,6.8,6.8,7.4,7.6,7.2,6.6,6.7,6.7,6.9,6.2,5.4,3.9,2.6,2.1,1.5,1.8,2012,Sacramento County,California
0500000US06071,7.6,7.7,7.8,8.3,8.3,7.3,6.9,6.4,6.7,6.6,6.6,5.5,4.8,3.2,2.4,1.6,1.2,1.2,2012,San Bernardino County,California
0500000US06073,6.6,6.3,6.1,6.9,8.7,8.2,7.4,6.8,6.6,6.6,6.8,6.2,4.9,3.7,2.7,1.9,1.8,1.9,2012,San Diego County,California
0500000US06075,4.5,3.7,3.2,4.0,6.5,11.3,10.6,8.7,7.7,7.0,6.6,6.3,6.0,4.3,2.8,2.6,2.0,2.2,2012,San Francisco County,California
0500000US06077,7.7,8.0,8.1,7.9,7.4,6.7,6.6,6.6,6.4,6.5,6.5,5.4,5.0,3.5,2.7,2.1,1.4,1.4,2012,San Joaquin County,California
0500000US06079,4.8,5.1,5.6,7.8,11.0,5.6,6.0,5.1,5.7,5.9,7.1,6.8,7.2,5.1,3.7,2.6,2.2,2.9,2012,San Luis Obispo County,California
0500000US06081,6.2,6.4,5.7,5.5,5.5,6.8,7.3,7.3,7.6,7.5,7.5,7.1,5.8,4.3,3.1,2.5,1.9,2.1,2012,San Mateo County,California
0500000US06083,6.5,6.3,6.0,8.7,10.8,6.9,6.5,5.5,6.2,6.2,6.2,6.0,5.0,4.0,2.8,2.3,1.8,2.4,2012,Santa Barbara County,California
0500000US06085,6.7,7.0,6.2,6.2,6.3,7.4,7.7,7.5,7.8,7.4,7.2,6.1,4.9,3.7,2.7,1.9,1.7,1.6,2012,Santa Clara County,California
0500000US06087,5.6,5.3,6.3,8.5,9.8,6.0,6.1,5.7,6.7,6.5,7.2,8.1,5.9,4.8,2.2,1.7,1.5,2.0,2012,Santa Cruz County,California
0500000US06089,5.5,5.5,6.3,6.9,6.3,5.9,5.2,5.1,6.2,6.6,7.7,7.4,7.1,6.1,4.3,2.7,2.7,2.5,2012,Shasta County,California
0500000US06095,6.3,6.2,6.9,6.8,7.4,7.1,6.6,6.1,6.5,7.2,7.6,7.1,6.0,4.6,2.4,2.3,1.4,1.5,2012,Solano County,California
0500000US06097,5.6,6.0,6.0,6.3,7.0,6.4,6.3,6.0,6.2,6.8,7.6,7.4,7.1,5.0,3.5,2.4,1.8,2.4,2012,Sonoma County,California
0500000US06099,7.6,7.2,8.4,7.9,7.4,7.0,6.6,5.9,6.8,6.8,6.6,5.5,5.1,3.7,2.7,1.8,1.5,1.6,2012,Stanislaus County,California
0500000US06101,7.2,8.7,6.5,9.0,6.2,6.7,6.5,5.3,7.7,5.5,6.5,5.9,4.9,3.7,3.6,2.3,1.8,2.2,2012,Sutter County,California
0500000US06107,9.1,9.2,8.6,8.5,7.6,7.0,7.2,5.9,6.3,5.8,5.6,5.0,4.2,3.2,2.4,1.8,1.2,1.3,2012,Tulare County,California
0500000US06111,6.6,7.1,6.8,7.3,7.3,6.5,6.4,6.5,6.4,7.1,7.5,6.6,5.3,4.2,2.7,2.2,1.6,1.9,2012,Ventura County,California
0500000US06113,5.7,5.8,6.1,8.9,14.7,6.9,6.4,5.7,6.2,6.4,6.1,5.6,4.5,3.8,2.6,1.7,1.0,1.9,2012,Yolo County,California
0500000US06115,8.5,9.2,6.4,5.9,9.2,8.0,6.4,5.5,6.3,5.6,6.8,5.7,6.0,3.7,2.3,1.7,1.5,1.2,2012,Yuba County,California
0500000US08001,8.1,8.8,7.2,6.4,6.8,7.9,8.1,7.5,7.1,6.6,6.5,5.7,4.3,3.5,1.9,1.7,1.1,0.9,2012,Adams County,Colorado
0500000US08005,6.7,7.3,6.7,6.6,6.1,7.5,7.5,6.9,7.2,7.0,7.3,6.9,5.3,4.0,2.4,1.8,1.3,1.4,2012,Arapahoe County,Colorado
0500000US08013,5.2,5.5,6.3,7.9,10.7,6.8,6.3,7.3,6.4,6.9,7.1,7.0,5.6,4.1,2.3,2.1,1.2,1.3,2012,Boulder County,Colorado
0500000US08031,7.4,6.4,5.2,5.0,7.0,11.2,10.2,7.4,7.6,5.9,5.7,5.5,5.0,3.4,2.3,1.8,1.4,1.5,2012,Denver County,Colorado
0500000US08035,6.6,8.8,8.9,7.1,4.0,4.4,6.5,8.2,9.0,8.6,7.9,6.3,5.0,3.3,2.4,1.3,0.9,0.7,2012,Douglas County,Colorado
0500000US08041,7.0,7.4,6.8,7.3,8.2,7.7,7.0,6.3,6.4,6.8,7.2,6.6,4.7,3.8,2.6,1.9,1.2,1.2,2012,El Paso County,Colorado
0500000US08059,5.3,6.1,6.1,6.2,6.1,6.4,6.2,6.4,6.8,7.6,8.5,7.9,6.8,5.0,2.9,2.3,1.8,1.6,2012,Jefferson County,Colorado
0500000US08069,5.4,6.1,5.7,7.1,10.7,7.1,6.7,6.0,5.9,6.2,7.2,6.9,6.1,4.5,2.8,2.0,1.7,1.7,2012,Larimer County,Colorado
