Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US06045,6.1,5.9,6.5,6.6,4.3,5.3,6.4,7.1,4.1,6.0,6.2,6.9,8.7,8.4,4.2,3.4,1.7,2.3,2016,Mendocino County,California
0500000US06047,8.1,8.6,8.1,8.4,7.9,7.7,6.7,5.9,6.3,5.6,5.8,5.1,5.0,3.7,2.5,1.7,1.4,1.5,2016,Merced County,California
0500000US06053,7.5,7.4,7.3,7.1,7.3,7.2,7.3,6.5,6.4,6.0,6.0,5.7,5.4,4.4,2.9,1.9,1.6,1.8,2016,Monterey County,California
0500000US06055,5.2,5.9,6.3,6.0,6.9,5.8,6.3,6.1,6.3,6.8,6.6,7.1,6.5,6.3,3.8,3.3,2.2,2.5,2016,Napa County,California
0500000US06057,3.7,4.7,6.3,4.7,4.2,4.0,6.7,5.2,4.9,5.4,6.5,8.4,9.4,9.6,6.3,4.0,2.5,3.5,2016,Nevada County,California
0500000US06059,6.0,6.0,6.5,6.6,6.9,7.5,6.8,6.6,6.4,7.3,7.2,6.6,5.8,4.6,3.3,2.4,1.7,2.0,2016,Orange County,California
0500000US06061,5.3,6.4,6.6,6.6,5.0,5.3,5.6,6.1,6.6,6.9,7.1,7.0,6.5,6.0,4.9,3.0,2.4,2.7,2016,Placer County,California
0500000US06065,6.6,7.2,7.3,7.4,7.2,7.2,6.6,6.4,6.2,6.4,6.4,6.1,5.1,4.7,3.2,2.5,1.7,1.7,2016,Riverside County,California
0500000US06067,6.6,6.4,7.0,6.2,6.6,8.0,7.5,6.7,6.3,6.5,6.4,6.3,5.8,4.7,3.2,2.3,1.5,1.8,2016,Sacramento County,California
0500000US06071,7.2,7.4,7.5,7.5,7.9,7.9,7.0,6.4,6.4,6.3,6.3,6.0,5.2,4.1,2.6,1.8,1.2,1.3,2016,San Bernardino County,California
0500000US06073,6.4,6.0,6.0,6.3,7.9,8.7,7.7,6.9,6.2,6.4,6.4,6.1,5.6,4.6,3.2,2.2,1.6,1.9,2016,San Diego County,California
0500000US06075,4.6,3.8,3.2,3.5,5.7,11.9,11.4,8.8,7.0,7.1,6.5,5.8,5.8,4.8,3.3,2.5,1.8,2.5,2016,San Francisco County,California
0500000US06077,7.1,8.1,7.5,7.5,7.0,7.1,6.8,6.4,6.3,6.4,6.3,5.8,5.2,4.0,3.3,2.0,1.5,1.5,2016,San Joaquin County,California
